date,category,subcategory,name,danawa_price,danawa_url,compuzone_price,compuzone_url,shopdanawa_price,shopdanawa_url,cheapest
2026-04-09,CPU,게이밍 & 작업용 (AMD),AMD 라이젠9-6세대 9950X3D (그래니트 릿지) (멀티팩 정품),923190,https://prod.danawa.com/info/?pcode=77790914&cate=112747,974000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1220480,1020670,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=77790914,다나와
2026-04-09,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-6세대 9800X3D (그래니트 릿지) (멀티팩 정품),574070,https://prod.danawa.com/info/?pcode=70531547&cate=112747,578000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1187400,678930,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=70531547,다나와
2026-04-09,CPU,게이밍 & 작업용 (AMD),AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩 정품),397950,https://prod.danawa.com/info/?pcode=19627934&cate=112747,400000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1013843,489300,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=19627934,다나와
2026-04-09,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-6세대 9600X (그래니트 릿지) (멀티팩 정품),246740,https://prod.danawa.com/info/?pcode=62794079&cate=112747,294000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1164055,315560,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=62794079,다나와
2026-04-09,CPU,게이밍 & 작업용 (AMD),AMD 라이젠5-5세대 7500X3D (라파엘) (멀티팩 정품),349890,https://prod.danawa.com/info/?pcode=104223188&cate=112747,346900,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1313313,397760,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=104223188,컴퓨존
2026-04-09,CPU,메인스트림 (AMD),AMD 라이젠5-5세대 7500F (라파엘) (멀티팩 정품),192990,https://prod.danawa.com/info/?pcode=21694499&cate=112747,195900,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1062764,218980,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=21694499,다나와
2026-04-09,CPU,메인스트림 (AMD),AMD 라이젠5-4세대 5600G (세잔) (멀티팩 정품),206020,https://prod.danawa.com/info/?pcode=14927675&cate=112747,191000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1216681,227960,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=14927675,컴퓨존
2026-04-09,CPU,인텔 울트라,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),485330,https://prod.danawa.com/info/?pcode=69059687&cate=112747,500500,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1183677,534410,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=69059687,다나와
2026-04-09,CPU,인텔 울트라,인텔 코어 울트라5 시리즈2 245K (애로우레이크) (정품),335780,https://prod.danawa.com/info/?pcode=69059753&cate=112747,340900,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1183680,373520,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=69059753,다나와
2026-04-09,CPU,인텔 울트라,인텔 코어 울트라7 시리즈2 270K Plus (애로우레이크 리프레시) (정품),522890,https://prod.danawa.com/info/?pcode=108424286&keyword=270k+plus&cate=113973,513000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1334275,579690,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=108424286&productRegisterAreaGroupSeq=100&serviceSectionSeq=594,컴퓨존
2026-04-09,CPU,인텔 울트라,인텔 코어 울트라5 시리즈2 250K Plus (애로우레이크 리프레시) (정품),357500,https://prod.danawa.com/info/?pcode=108424451&keyword=250k+plus&cate=113973,360000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1334276,406800,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=108424451&productRegisterAreaGroupSeq=100&serviceSectionSeq=594,다나와
2026-04-09,CPU,인텔 14세대,인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (정품),378120,https://prod.danawa.com/info/?pcode=28799654&cate=112747,393000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1078414,419120,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=28799654,다나와
2026-04-09,CPU,인텔 14세대,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (밸류팩 정품),250450,https://prod.danawa.com/info/?pcode=76555634&cate=112747,259000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1215660,277680,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=76555634,다나와
2026-04-09,RAM,DDR5 (16GB),삼성전자 DDR5-5600 (16GB),314860,https://prod.danawa.com/info/?pcode=18911780&cate=112752,355000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=990235,375870,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=18911780,다나와
2026-04-09,RAM,DDR5 (16GB),ESSENCORE KLEVV DDR5-5600 CL46 파인인포 (16GB),340390,https://prod.danawa.com/info/?pcode=18965774&cate=112752,340490,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=977732,355800,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=18965774,다나와
2026-04-09,RAM,DDR5 (16GB),SK하이닉스 DDR5-5600 (16GB),312000,https://prod.danawa.com/info/?pcode=18883523&cate=112752,374000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1004773,381220,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=18883523,다나와
2026-04-09,RAM,DDR5 (16GB),마이크론 Crucial DDR5-5600 CL46 대원씨티에스 (16GB),294530,https://prod.danawa.com/info/?pcode=20369126&cate=112752,308000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1123155,325080,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=20369126,다나와
2026-04-09,RAM,DDR5 (16GB),Apacer DDR5-5600 CL46 (16GB),312890,https://prod.danawa.com/info/?pcode=99893666,313000,https://www.compuzone.co.kr/product/product_detail.htm?ProductNo=1293860,321660,https://shop.danawa.com/main/?controller=goods&methods=blog&billingInternalProductSeq=99893666,다나와
